tracking_event_id,tracking_number,batch_id,raw_payload,created_at,has_ascan,has_dscan,time_since_last_scan_days,carrier_accepted_date,carrier_delivery_date,label_print_date,last_tracking_event,last_tracking_event_date,MaerskTrackingNumber,TrackingNumber
91e8cb2f-6f87-4c4a-9838-164632f5a301,323210341240003683613030,,,2026-04-16T08:00:00Z,TRUE,TRUE,308,7/6/2025,7/7/2025,7/1/2025,Parcel Successfully Delivered,7/7/2025,1MAMPH4AB0000639862,
91e8cb2f-6f87-4c4a-9838-164632f5a302,00573132900795032187,,,2026-03-12T12:00:00Z,TRUE,TRUE,305,7/8/2025,7/10/2025,7/1/2025,Parcel Successfully Delivered,7/10/2025,1MAMPH4AB0000641393,
91e8cb2f-6f87-4c4a-9838-164632f5a303,9434640202022005494011,,,2026-05-02T09:31:00Z,TRUE,TRUE,312,7/2/2025,7/3/2025,7/1/2025,"Delivered, Front Door/Porch/Reception",7/3/2025,1MAMR01A20029909896,
91e8cb2f-6f87-4c4a-9838-164632f5a304,9434640202022005507827,,,2026-04-07T16:00:00Z,TRUE,TRUE,310,7/2/2025,7/5/2025,7/1/2025,Delivered in/at mailbox,7/5/2025,1MAMR01A20029949823,
91e8cb2f-6f87-4c4a-9838-164632f5a401,1Z8X42711296067920,,,2026-04-02T08:00:00Z,TRUE,TRUE,312,7/1/2025,7/3/2025,7/1/2025,Parcel Successfully Delivered,7/3/2025,1MAMR01A20029967902,
91e8cb2f-6f87-4c4a-9838-164632f5a402,9434640202022005514481,,,2026-04-18T12:01:00Z,TRUE,TRUE,308,7/2/2025,7/7/2025,7/1/2025,"Delivered, Front Door/Porch/Reception",7/7/2025,1MAMR01A30038345340,
91e8cb2f-6f87-4c4a-9838-164632f5a403,9434640202022005524473,,,2026-05-02T14:01:00Z,TRUE,TRUE,308,7/2/2025,7/7/2025,7/1/2025,"Delivered, Front Door/Porch/Reception",7/7/2025,1MAMR01A30038358377,
91e8cb2f-6f87-4c4a-9838-164632f5a404,9434640202022005530290,,,2026-04-25T17:00:00Z,TRUE,TRUE,308,7/4/2025,7/7/2025,7/1/2025,Parcel Successfully Delivered,7/7/2025,1MAMR01A30038365634,
,9434640202022005536278,,,,TRUE,TRUE,312,7/2/2025,7/3/2025,7/1/2025,"Delivered, Parcel Locker",7/3/2025,1MAMR01A30038370809,
,1Z8X42710396812202,,,,TRUE,TRUE,307,7/1/2025,7/8/2025,7/1/2025,Parcel Successfully Delivered,7/8/2025,1MAMR01A60011355049,
,9434640202022005534519,,,,TRUE,TRUE,308,7/2/2025,7/7/2025,7/1/2025,Delivered in/at mailbox,7/7/2025,1MAMR01A60011355050,
,9434640202022005540404,,,,TRUE,TRUE,312,7/2/2025,7/3/2025,7/1/2025,Delivered in/at mailbox,7/3/2025,1MAMR01A80017094652,
,9400140202022011175117,,,,TRUE,TRUE,179,7/2/2025,7/5/2025,7/1/2025,Delivered in/at mailbox,11/13/2025,1MBDGRZA20029916524,
,1Z8X42710392210762,,,,FALSE,FALSE,314,,,7/1/2025,Carrier Shipping Label Created,7/1/2025,1MBDGRZA20030008797,
,9400140202022011181095,,,,TRUE,TRUE,179,7/2/2025,7/5/2025,7/1/2025,"Delivered, Front Door/Porch/Reception",11/13/2025,1MBDGRZA60011311276,
,9400140202022011211662,,,,TRUE,TRUE,178,7/2/2025,7/8/2025,7/1/2025,Delivered in/at mailbox,11/14/2025,1MBDGRZA60011329039,
,9400140202022011207481,,,,TRUE,TRUE,179,7/2/2025,7/5/2025,7/1/2025,Delivered in/at mailbox,11/13/2025,1MBDGRZA80017060778,
,6A02776825696,,,,FALSE,FALSE,314,,,7/1/2025,Lastmile Notice: Shipping data received,7/1/2025,1MGCSSBAB0000637488,
,9402037903575153532131,,,,FALSE,FALSE,314,,,7/1/2025,Lastmile Notice: Shipping data received,7/1/2025,1MHUD0AA20029887981,
,9400140202022011157335,,,,TRUE,TRUE,310,7/2/2025,7/5/2025,7/1/2025,"Delivered, Front Door/Porch/Reception",7/5/2025,1MHUD0AA20029890974,
,9402037903575153538799,,,,FALSE,FALSE,314,,,7/1/2025,Lastmile Notice: Shipping data received,7/1/2025,1MHUD0AA20029933927,
,9402037903575153540747,,,,TRUE,TRUE,301,7/11/2025,7/14/2025,7/1/2025,"Delivered, Front Door/Porch/Reception",7/14/2025,1MHUD0AA20029941870,
,9400140202022011205975,,,,TRUE,TRUE,310,7/3/2025,7/5/2025,7/1/2025,"Delivered, Front Door/Porch/Reception",7/5/2025,1MHUD0AA20029951433,
,9402037903575153539024,,,,FALSE,FALSE,314,,,7/1/2025,Lastmile Notice: Shipping data received,7/1/2025,1MHUD0AA30038330995,
,9400140202022011202875,,,,TRUE,TRUE,305,7/3/2025,7/10/2025,7/1/2025,Delivered in/at mailbox,7/10/2025,1MHUD0AA30038337778,
,9402037903575153537877,,,,FALSE,FALSE,314,,,7/1/2025,Lastmile Notice: Shipping data received,7/1/2025,1MHUD0AA60011314055,
